bgg_id,simple_mechanics,simple_category
103686,Card Play; Drafting; Set Collection; Trading,Card Games; Economic / Industry; Pirates / Nautical; Historical Eras
103687,,Sports / Racing
103714,Auction / Bidding; Asymmetric Powers,Fantasy / Mythical; Media / Pop Culture
103745,Stock / Speculation; Map Building; Pick-up and Deliver,Economic / Industry; Fantasy / Mythical; Historical Eras
103752,Area Movement; Card Play; Tile Placement,Abstract / Strategy
103755,Set Collection; Tile Placement,Adventure / Exploration; Card Games; Historical Eras
103783,Social / Party,Party / Social; Dice / Roll Mechanics; Trivia / Word Games
103806,Card Play; Area Movement,Card Games; Fantasy / Mythical
103807,Simultaneous Choice; Set Collection; Tile Placement,Card Games; Sports / Racing
103811,Tile Placement,Pirates / Nautical
103814,Pattern Building; Party / Trivia,Educational / STEM; Puzzle / Logic
103828,Card Play,Card Games; Kids / Family
103830,Area Movement; Pattern Building,Abstract / Strategy
103843,Dice Rolling; Push Your Luck,Fantasy / Mythical
103844,Dice Rolling; Worker Placement,Historical Eras
103877,Pattern Building; Roll and Move,Abstract / Strategy
103883,Map Building; Route Building; Pattern Building; Pick-up and Deliver; Set Collection,Card Games; Fantasy / Mythical; Puzzle / Logic
103885,Action Selection; Dice; Random Events; Dice Rolling; Tactical Combat; Movement; Player Elimination; Simulation; Simultaneous Play; Asymmetric Powers,Economic / Industry; Party / Social; Card Games; Miniatures / Tabletop Battles; Media / Pop Culture; Science Fiction / Space; War / Historical Battles
103886,Card Play; Commitment / Bidding; Asymmetric Powers,Card Games; Media / Pop Culture; Science Fiction / Space
103922,Dice Rolling,Dice / Roll Mechanics; Media / Pop Culture; Science Fiction / Space
103937,Campaign / Scenario; Cooperative; Team Play,Horror / Zombies
103975,Action Selection; Area Control; Area Movement,Abstract / Strategy; War / Historical Battles
104006,Area Control; Negotiation; Set Collection; Turn Order; Initiative; Worker Placement,Economic / Industry; Historical Eras
104012,,Miniatures / Tabletop Battles
104020,Action Selection; Auction / Bidding; Area Movement; Player Penalty; Map Building; Resource Management; Turn Order; Initiative,Economic / Industry; Pirates / Nautical
104029,Area Control; Pattern Building; Map Building; Tile Placement,Abstract / Strategy; Card Games
104063,Card Play; Drafting,Card Games; Kids / Family
104162,Action Selection; Dice Rolling; Area Movement; Card Play; Tactical Combat; Map Building; Movement; Variable Powers; Role Playing; Campaign / Scenario; Solo Play; Dice; Skill Check; Cooperative; Team Play; Asymmetric Powers,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles; Miniatures / Tabletop Battles
104234,Card Play; Simultaneous Play,Card Games; Humor / Adult; Party / Social; Trivia / Word Games
104239,Bluffing,Party / Social; Trivia / Word Games
104340,Map Building; Pick-up and Deliver; Simulation,Economic / Industry
104347,Stock / Speculation; Dice Rolling; Deduction / Hidden Info; Memory / Matching; Map Building; Pick-up and Deliver; Resource Management; Movement; Worker Placement,Economic / Industry
104351,Area Movement,Historical Eras; War / Historical Battles
104353,Area Movement; Dice Rolling,War / Historical Battles
104363,Team Play; Area Control; Auction / Bidding; Commitment / Bidding; Card Play; Area Movement; Cooperative; Team Play; Asymmetric Powers,War / Historical Battles; Party / Social; Modern / Political Conflicts; Science Fiction / Space
104376,Memory / Matching,Puzzle / Logic
104377,Auction / Bidding; Card Play; Memory / Matching; Simultaneous Play,Card Games; Fantasy / Mythical
